system,topic_id,status,candidate_chars,reference_chars,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
arise_adapter,fw24_010,ok,1206,36004,0.019801980198019806,0.006937561942517344,0.01485148514851485,0.7696065306663513,0.7918822169303894,0.7805854678153992
vanilla_llm,edu_001,ok,1251,4447,0.02162162162162162,0.0,0.02162162162162162,0.7881065011024475,0.8002946376800537,0.7941538095474243
self_refine,edu_001,ok,1156,4447,0.0332409972299169,0.0,0.02941176470588235,0.7880522012710571,0.7982232570648193,0.7931051254272461
cogwriter_adapter,edu_001,ok,1248,4447,0.017045454545454548,0.0,0.017045454545454548,0.7869790196418762,0.7974552512168884,0.792182445526123
longwriter_gguf_ollama,edu_001,failed_invalid_output,0,4447,0.0,0.0,0.0,,,
arise_adapter,edu_001,ok,1218,4447,0.02072538860103627,0.0,0.02072538860103627,0.7855544686317444,0.8033902645111084,0.7943722605705261
flowernet_full,edu_001,ok,4856,4447,0.12274368231046931,0.014492753623188408,0.08630393996247654,0.7816440463066101,0.8009734749794006,0.7911907434463501
flowernet_wo_bandit,edu_001,ok,4750,4447,0.08333333333333334,0.007272727272727273,0.060263653483992465,0.7873353958129883,0.801112174987793,0.7941640615463257
flowernet_wo_nli,edu_001,ok,4802,4447,0.042226487523992315,0.0077071290944123304,0.04,0.7836276292800903,0.7993382215499878,0.7914050221443176
flowernet_wo_multidim,edu_001,ok,4725,4447,0.09019607843137256,0.011811023622047246,0.06952965235173823,0.7873954176902771,0.8021034002304077,0.7946813702583313
vanilla_llm,edu_002,ok,1223,1849,0.023121387283236993,0.0,0.023121387283236993,0.7873638272285461,0.8011213541030884,0.7941829562187195
self_refine,edu_002,ok,1162,1849,0.03409090909090909,0.0,0.022727272727272728,0.7794869542121887,0.7977538108825684,0.7885146141052246
cogwriter_adapter,edu_002,ok,1222,1849,0.013333333333333334,0.0,0.013333333333333334,0.7858598828315735,0.7959269881248474,0.7908614277839661
longwriter_gguf_ollama,edu_002,failed_invalid_output,0,1849,0.0,0.0,0.0,,,
arise_adapter,edu_002,ok,1276,1849,0.028037383177570093,0.0,0.028037383177570093,0.7759007215499878,0.8001840114593506,0.787855327129364
flowernet_full,edu_002,ok,4647,1849,0.04,0.013422818791946308,0.04,0.7688621282577515,0.7943283915519714,0.7813878655433655
flowernet_wo_bandit,edu_002,ok,4951,1849,0.1308411214953271,0.031347962382445145,0.09345794392523366,0.7810944318771362,0.8025344014167786,0.7916692495346069
flowernet_wo_nli,edu_002,ok,4483,1849,0.038834951456310676,0.013029315960912051,0.038834951456310676,0.7692037224769592,0.7953299283981323,0.7820486426353455
flowernet_wo_multidim,edu_002,ok,4272,1849,0.0409556313993174,0.013745704467353952,0.03669724770642201,0.7649243474006653,0.7934168577194214,0.7789100408554077
vanilla_llm,edu_003,ok,1200,2880,0.029411764705882353,0.0,0.014705882352941176,0.7858354449272156,0.8004617691040039,0.7930811643600464
self_refine,edu_003,ok,1141,2880,0.02238805970149254,0.0,0.02238805970149254,0.7867329120635986,0.7989418506622314,0.792790412902832
cogwriter_adapter,edu_003,ok,1188,2880,0.031128404669260697,0.0,0.031128404669260697,0.7921640276908875,0.8045971393585205,0.798332154750824
longwriter_gguf_ollama,edu_003,failed_invalid_output,0,2880,0.0,0.0,0.0,,,
arise_adapter,edu_003,ok,1196,2880,0.02255639097744361,0.0,0.02255639097744361,0.7780001163482666,0.7958769798278809,0.7868369817733765
flowernet_full,edu_003,ok,4615,2880,0.02,0.0,0.015000000000000001,0.7877347469329834,0.7983553409576416,0.7930094599723816
flowernet_wo_bandit,edu_003,ok,4709,2880,0.04113110539845758,0.0,0.030848329048843187,0.788489818572998,0.8020901083946228,0.795231819152832
flowernet_wo_nli,edu_003,ok,4387,2880,0.03723404255319149,0.0,0.031914893617021274,0.786527156829834,0.800373911857605,0.793390154838562
flowernet_wo_multidim,edu_003,ok,4682,2880,0.03608247422680413,0.0,0.025773195876288662,0.7837015390396118,0.8004724979400635,0.7919982671737671
vanilla_llm,edu_004,ok,1198,2582,0.11618257261410789,0.0,0.11618257261410789,0.795893669128418,0.8028424978256226,0.7993530035018921
self_refine,edu_004,ok,1157,2582,0.11428571428571428,0.0,0.11428571428571428,0.7950779795646667,0.801429271697998,0.7982409596443176
cogwriter_adapter,edu_004,ok,1168,2582,0.06177606177606178,0.0,0.06177606177606178,0.7913030385971069,0.8047573566436768,0.7979735136032104
longwriter_gguf_ollama,edu_004,failed_invalid_output,0,2582,0.0,0.0,0.0,,,
arise_adapter,edu_004,ok,1218,2582,0.09621993127147768,0.0,0.09621993127147768,0.7936235666275024,0.8051953315734863,0.7993675470352173
flowernet_full,edu_004,ok,4816,2582,0.13012048192771086,0.016438356164383564,0.10602409638554217,0.7943981885910034,0.8072105050086975,0.8007530570030212
flowernet_wo_bandit,edu_004,ok,4753,2582,0.09782608695652174,0.012578616352201257,0.08695652173913045,0.7918273210525513,0.8050206899642944,0.7983695268630981
flowernet_wo_nli,edu_004,ok,4786,2582,0.0787037037037037,0.010471204188481674,0.06944444444444443,0.7965430021286011,0.8072527050971985,0.8018620610237122
flowernet_wo_multidim,edu_004,ok,4860,2582,0.08425720620842572,0.02493765586034913,0.0753880266075388,0.7806905508041382,0.8018975853919983,0.7911519408226013
vanilla_llm,edu_005,ok,1173,3611,0.022598870056497175,0.014705882352941176,0.022598870056497175,0.7903636693954468,0.7986301779747009,0.7944754958152771
self_refine,edu_005,ok,1245,3611,0.04528301886792452,0.0076045627376425855,0.03773584905660377,0.7933545112609863,0.7993006706237793,0.7963165044784546
cogwriter_adapter,edu_005,ok,1259,3611,0.01515151515151515,0.0,0.007575757575757575,0.7919781804084778,0.7968214750289917,0.794392466545105
longwriter_gguf_ollama,edu_005,failed_invalid_output,0,3611,0.0,0.0,0.0,,,
arise_adapter,edu_005,ok,1154,3611,0.0,0.0,0.0,0.7846433520317078,0.7973525524139404,0.7909468412399292
flowernet_full,edu_005,ok,4744,3611,0.027888446215139445,0.004761904761904762,0.027888446215139445,0.7794792056083679,0.7940090298652649,0.7866770625114441
flowernet_wo_bandit,edu_005,ok,4692,3611,0.08016877637130802,0.015306122448979591,0.06751054852320675,0.7934048175811768,0.8059089779853821,0.7996079921722412
flowernet_wo_nli,edu_005,ok,4803,3611,0.047722342733188726,0.013071895424836602,0.039045553145336226,0.7874871492385864,0.8010517358779907,0.7942115068435669
flowernet_wo_multidim,edu_005,ok,4463,3611,0.08870967741935484,0.014492753623188406,0.06854838709677419,0.7835366725921631,0.8002244234085083,0.791792631149292
flowernet_wo_bandit,fw24_005,ok,4734,34576,0.059479553903345715,0.007441860465116279,0.031598513011152414,0.7808105945587158,0.8007968664169312,0.7906774282455444
flowernet_wo_nli,fw24_005,ok,4699,34576,0.04259175351155415,0.0054421768707483,0.02718622564567286,0.7838504314422607,0.8016506433486938,0.7926506400108337
flowernet_wo_multidim,fw24_005,ok,4628,34576,0.046357615894039736,0.008522727272727272,0.027436140018921477,0.7787372469902039,0.8015656471252441,0.7899865508079529
flowernet_wo_bandit,fw24_007,ok,4972,24002,0.0636144578313253,0.0057887120115774245,0.033734939759036145,0.7839449048042297,0.790230393409729,0.7870750427246094
flowernet_wo_nli,fw24_007,ok,4522,24002,0.049406175771971504,0.0019940179461615153,0.030403800475059386,0.7854881286621094,0.7906626462936401,0.7880669236183167
flowernet_wo_multidim,fw24_007,ok,4818,24002,0.04750363548230732,0.002911208151382824,0.030053320407174018,0.779605507850647,0.7878368496894836,0.7836995720863342
flowernet_wo_bandit,fw24_010,ok,4623,36004,0.036671368124118475,0.006588235294117647,0.023507287259050307,0.7840800881385803,0.7950623035430908,0.7895330190658569
flowernet_wo_nli,fw24_010,ok,4671,36004,0.034532374100719423,0.005760921747479597,0.024940047961630695,0.7786116003990173,0.7954196929931641,0.7869259119033813
flowernet_wo_multidim,fw24_010,ok,4672,36004,0.0441785549930971,0.009212344541685858,0.03313391624482283,0.7761852741241455,0.7921015024185181,0.7840626239776611
flowernet_full,fw24_005,ok,4779,34576,0.04840878529807262,0.008075370121130554,0.027790228597041684,0.7796559929847717,0.7970346808433533,0.7882495522499084
flowernet_full,fw24_007,ok,4821,24002,0.04702495201535509,0.0020151133501259445,0.029750479846449136,0.7823477387428284,0.7894359827041626,0.7858757972717285
flowernet_full,fw24_010,ok,4815,36004,0.047954866008462625,0.008470588235294119,0.02914903620122238,0.7794090509414673,0.7955899238586426,0.787416398525238
flowernet_no_vc_direct,fw24_001,ok,6606,36004,0.06292352371732818,0.0029140359397765905,0.05033881897386254,0.7779924273490906,0.7920736074447632,0.7849699258804321
flowernet_no_vc_budget20,fw24_001,ok,7350,36004,0.1026827012025902,0.0037037037037037043,0.08140610545790934,0.7820892333984375,0.7930405139923096,0.7875268459320068
flowernet_no_vc_direct,fw24_002,ok,6951,28442,0.056543547651618786,0.0057361376673040155,0.0364797081623347,0.7958481311798096,0.7974804639816284,0.7966634631156921
flowernet_no_vc_budget20,fw24_002,ok,6898,28442,0.0446927374301676,0.005862237420615535,0.032588454376163874,0.7959309816360474,0.7990264892578125,0.7974757552146912
flowernet_no_vc_direct,fw24_003,ok,6931,34662,0.07050285121824779,0.008303061754021795,0.04769310523587351,0.7864198684692383,0.7971768379211426,0.7917618155479431
flowernet_no_vc_budget20,fw24_003,ok,6709,34662,0.04775124930594114,0.007782101167315175,0.037756801776790666,0.7883501052856445,0.7988008260726929,0.7935410141944885
flowernet_no_vc_direct,fw24_004,ok,7172,24002,0.049370277078085646,0.004034291477559253,0.031234256926952135,0.7868924140930176,0.7897399067878723,0.788313627243042
flowernet_no_vc_budget20,fw24_004,ok,5902,24002,0.03808543489449305,0.003091190108191654,0.024704065877509004,0.7877280712127686,0.7923291325569153,0.7900219559669495
flowernet_no_vc_direct,fw24_005,ok,6898,34576,0.04221635883905013,0.004401408450704225,0.027264731750219876,0.7836968302726746,0.7978674173355103,0.790718674659729
flowernet_no_vc_budget20,fw24_005,ok,6940,34576,0.045029736618521665,0.005102040816326531,0.029736618521665252,0.786965012550354,0.7986481785774231,0.7927634716033936
flowernet_no_vc_direct,fw24_006,ok,6822,31453,0.06896551724137931,0.0061396776669224865,0.04137931034482758,0.7881721258163452,0.8010226488113403,0.7945454120635986
flowernet_no_vc_budget20,fw24_006,ok,7020,31453,0.07116920842411038,0.010181818181818183,0.04938271604938271,0.7901074886322021,0.8035321831703186,0.7967633008956909
